id,fna,gna,nam,cui,cue,anx,ges,nen_mde,tip,dep,dir,bar,com,sag,geometry
393,Establecimiento educativo CFP Nº 15 DE 05,Establecimiento Educativo,CFP Nº 15 DE 05,200278.0,202303.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros de Formación Profesional (CFP),Gerencia Operativa de Formación para el Trabajo y el Empleo,Pepiri 1462,Nueva Pompeya,4,Mapa Escolar - Ministerio de Educación,POINT (25237.42339832936 67155.73049633781)
394,Establecimiento educativo INSTITUTO NTRA SRA. DE LOS MILAGROS DE CAACUPE,Establecimiento Educativo,INSTITUTO NTRA SRA. DE LOS MILAGROS DE CAACUPE,200278.0,202793.0,01,Privada,Nivel primario común,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Pepiri 1462,Nueva Pompeya,4,Mapa Escolar - Ministerio de Educación,POINT (25237.42339832936 67155.73049633781)
395,"Establecimiento educativo INSTITUTO DE FORMACION TECNICA SUPERIOR ""DON ORIONE""",Establecimiento Educativo,"INSTITUTO DE FORMACION TECNICA SUPERIOR ""DON ORIONE""",200278.0,203149.0,00,Privada,Nivel superior no universitario común,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Pepiri 1462,Nueva Pompeya,4,Mapa Escolar - Ministerio de Educación,POINT (25237.42339832936 67155.73049633781)
396,Establecimiento educativo JII Nº 14 DE 05,Establecimiento Educativo,JII Nº 14 DE 05,200280.0,203039.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Jardines de Infantes Integrales (JII),Dirección de Educación Inicial,"Garcia, Manuel 370",Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (26208.458836254937 68783.34699435631)
397,Establecimiento educativo CENS Nº 36 DE 05,Establecimiento Educativo,CENS Nº 36 DE 05,200281.0,201576.0,01,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,"Iriarte, Gral. Av. 3500 - Iriarte, Gral. Av. 3501",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (26073.78245337159 67417.11790313646)
398,Establecimiento educativo CENTRO EDUCATIVO Nº 47 ESCUELA MEDIA N.° 6,Establecimiento Educativo,CENTRO EDUCATIVO Nº 47 ESCUELA MEDIA N.° 6,200281.0,201845.0,36,Estatal,Nivel primario de jóvenes y adultos,"Prog. de Alfabetización, Educ. Bás. y Trabajo p/ Jóvenes y Adultos",Dirección de Educación del Adulto y del Adolescente,"Iriarte, Gral. Av. 3500 - Iriarte, Gral. Av. 3501",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (26073.78245337159 67417.11790313646)
399,Establecimiento educativo HORACIO QUIROGA,Establecimiento Educativo,HORACIO QUIROGA,200281.0,202279.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,"Iriarte, Gral. Av. 3500 - Iriarte, Gral. Av. 3501",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (26073.78245337159 67417.11790313646)
400,Establecimiento educativo CLUB DE JOVENES BARRACAS SUR,Establecimiento Educativo,CLUB DE JOVENES BARRACAS SUR,200281.0,202363.0,26,Estatal,Servicios complementarios/alternativos,Centros de Actividades Infantiles y Juveniles,Subsecretaría de Gestión del Aprendizaje,"Iriarte, Gral. Av. 3500 - Iriarte, Gral. Av. 3501",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (26073.78245337159 67417.11790313646)
401,Establecimiento educativo CFP Nº 09 DE 05,Establecimiento Educativo,CFP Nº 09 DE 05,200281.0,202421.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros de Formación Profesional (CFP),Gerencia Operativa de Formación para el Trabajo y el Empleo,"Iriarte, Gral. Av. 3500 - Iriarte, Gral. Av. 3501",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (26073.78245337159 67417.11790313646)
402,Establecimiento educativo SOL EN IRIARTE,Establecimiento Educativo,SOL EN IRIARTE,200281.0,202458.0,50,Estatal,Servicios complementarios/alternativos,Primera Infancia,Subsecretaría de Gestión del Aprendizaje,"Iriarte, Gral. Av. 3500 - Iriarte, Gral. Av. 3501",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (26073.78245337159 67417.11790313646)
403,Establecimiento educativo ESCUELA INFANTIL N° 12 DE 05,Establecimiento Educativo,ESCUELA INFANTIL N° 12 DE 05,200281.0,202470.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Escuelas Infantiles (EI),Dirección de Educación Inicial,"Iriarte, Gral. Av. 3500 - Iriarte, Gral. Av. 3501",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (26073.78245337159 67417.11790313646)
404,Establecimiento educativo ESC. DE EDUC. MEDIA N° 06 DE 05,Establecimiento Educativo,ESC. DE EDUC. MEDIA N° 06 DE 05,200281.0,202505.0,00,Estatal,Nivel secundario común,Escuelas de Educación Media,Dirección de Educación Media,"Iriarte, Gral. Av. 3500 - Iriarte, Gral. Av. 3501",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (26073.78245337159 67417.11790313646)
405,Establecimiento educativo REP. DE HAITI - ANEXO PARROQUIA CAACUPE,Establecimiento Educativo,REP. DE HAITI - ANEXO PARROQUIA CAACUPE,200282.0,202276.0,01,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos | Nivel primario de jóvenes y adultos,Escuelas Primarias para Adultos,Dirección de Educación del Adulto y del Adolescente,"Cruz, Osvaldo 3470",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (26101.39138021061 67015.43165140785)
406,Establecimiento educativo CENS Nº 75 DE 05,Establecimiento Educativo,CENS Nº 75 DE 05,200282.0,202356.0,01,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,"Cruz, Osvaldo 3470",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (26101.39138021061 67015.43165140785)
407,Establecimiento educativo INSTITUTO NUESTRA SEÑORA DE LOS MILAGROS DE CAACUPE,Establecimiento Educativo,INSTITUTO NUESTRA SEÑORA DE LOS MILAGROS DE CAACUPE,200282.0,202793.0,00,Privada,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal | Nivel secundario común | Nivel secundario de jóvenes y adultos,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"Cruz, Osvaldo 3470",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (26101.39138021061 67015.43165140785)
408,"Establecimiento educativo UGEE Nº5 BACH.POP.DE ADULTOS Y ADOLES.""MIGUELITO PEPE""",Establecimiento Educativo,"UGEE Nº5 BACH.POP.DE ADULTOS Y ADOLES.""MIGUELITO PEPE""",200289.0,202495.0,00,Estatal,Nivel secundario de jóvenes y adultos,Unidad de Gestión Educativa Experimental,Dirección de Educación del Adulto y del Adolescente,Solis 1973,Constitucion,1,Mapa Escolar - Ministerio de Educación,POINT (26740.1795341695 69762.76071397414)
409,Establecimiento educativo CENS Nº 49 DE 05,Establecimiento Educativo,CENS Nº 49 DE 05,200290.0,200549.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,Brandsen 2570,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (27164.400759062482 68872.30271733095)
410,Establecimiento educativo CFP Nº 02 DE 05 (HOSPITAL MOYANO),Establecimiento Educativo,CFP Nº 02 DE 05 (HOSPITAL MOYANO),200290.0,202437.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros de Formación Profesional (CFP),Gerencia Operativa de Formación para el Trabajo y el Empleo,Brandsen 2570,Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (27164.400759062482 68872.30271733095)
411,Establecimiento educativo ENS N° 05 GRAL MARTIN MIGUEL DE GUEMES DE 05,Establecimiento Educativo,ENS N° 05 GRAL MARTIN MIGUEL DE GUEMES DE 05,200293.0,201328.0,01,Estatal,Nivel superior no universitario común,Escuelas Normales Superiores,Dirección de Escuelas Normales Superiores,"Rico, Cnel. 751",Barracas,4,Mapa Escolar - Ministerio de Educación,POINT (27655.427840389042 68595.19825044418)
412,Establecimiento educativo ESTEBAN DE LUCA,Establecimiento Educativo,ESTEBAN DE LUCA,200294.0,200371.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos | Nivel primario de jóvenes y adultos,Escuelas Primarias para Adultos,Dirección de Educación del Adulto y del Adolescente,"Alsina, Adolfo 2499",Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (25674.624816770684 71905.22796989986)
413,Establecimiento educativo ESTEBAN DE LUCA,Establecimiento Educativo,ESTEBAN DE LUCA,200294.0,200888.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,"Alsina, Adolfo 2499",Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (25674.624816770684 71905.22796989986)
414,Establecimiento educativo JIN A DE 6 (ESC. PRIM. N°01 DE 06),Establecimiento Educativo,JIN A DE 6 (ESC. PRIM. N°01 DE 06),200294.0,201554.0,01,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,"Alsina, Adolfo 2499",Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (25674.624816770684 71905.22796989986)
415,Establecimiento educativo JOSE MARIA GUTIERREZ,Establecimiento Educativo,JOSE MARIA GUTIERREZ,200295.0,200601.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,La Rioja 1846,Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (25253.55655853401 69637.34845324124)
416,Establecimiento educativo JIN A DE 6 (ESC. PRIM. N°03 DE 06),Establecimiento Educativo,JIN A DE 6 (ESC. PRIM. N°03 DE 06),200296.0,201554.0,00,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,La Rioja 850,San Cristobal,3,Mapa Escolar - Ministerio de Educación,POINT (25113.62275302394 70996.29274770319)
417,Establecimiento educativo RUFINO SANCHEZ,Establecimiento Educativo,RUFINO SANCHEZ,200296.0,201565.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,La Rioja 850,San Cristobal,3,Mapa Escolar - Ministerio de Educación,POINT (25113.62275302394 70996.29274770319)
418,Establecimiento educativo SALVADOR MARIA DEL CARRIL,Establecimiento Educativo,SALVADOR MARIA DEL CARRIL,200297.0,200660.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,"Bocayuva, Quintino 620",Almagro,5,Mapa Escolar - Ministerio de Educación,POINT (23760.71518959137 71115.34435663698)
419,Establecimiento educativo JIN B MAESTRO ESCULTOR FCO. REYES (Nº4) DE 06,Establecimiento Educativo,JIN B MAESTRO ESCULTOR FCO. REYES (Nº4) DE 06,200297.0,201545.0,01,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,"Bocayuva, Quintino 620",Almagro,5,Mapa Escolar - Ministerio de Educación,POINT (23760.71518959137 71115.34435663698)
420,Establecimiento educativo CENS Nº 70 DE 06,Establecimiento Educativo,CENS Nº 70 DE 06,200298.0,200374.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,Catamarca 462,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (25269.6355625343 71540.26154467622)
421,Establecimiento educativo PAUL GROUSSAC,Establecimiento Educativo,PAUL GROUSSAC,200298.0,200818.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Catamarca 462,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (25269.6355625343 71540.26154467622)
422,Establecimiento educativo DR GUILLERMO CORREA,Establecimiento Educativo,DR GUILLERMO CORREA,200299.0,200438.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,Saavedra 695,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (25562.836921350412 71291.55863762044)
423,Establecimiento educativo JIC Nº03 FRYDA SCHULTZ DE MANTOVANI DE 06,Establecimiento Educativo,JIC Nº03 FRYDA SCHULTZ DE MANTOVANI DE 06,200299.0,200492.0,00,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Comunes (JIC),Dirección de Educación Inicial,Saavedra 695,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (25562.836921350412 71291.55863762044)
424,Establecimiento educativo CLUB DE CHICOS BALVANERA,Establecimiento Educativo,CLUB DE CHICOS BALVANERA,200299.0,202363.0,38,Estatal,Servicios complementarios/alternativos,Centros de Actividades Infantiles y Juveniles,Subsecretaría de Gestión del Aprendizaje,Saavedra 695,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (25562.836921350412 71291.55863762044)
425,Establecimiento educativo CI BALVANERA,Establecimiento Educativo,CI BALVANERA,200299.0,202363.0,62,Estatal,Servicios complementarios/alternativos,Centros de Actividades Infantiles y Juveniles,Subsecretaría de Gestión del Aprendizaje,Saavedra 695,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (25562.836921350412 71291.55863762044)
426,Establecimiento educativo OLEGARIO V ANDRADE,Establecimiento Educativo,OLEGARIO V ANDRADE,200300.0,201600.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,24 De Noviembre 1536,San Cristobal,3,Mapa Escolar - Ministerio de Educación,POINT (24905.59498443542 70017.3458882346)
427,Establecimiento educativo CENTRO EDUC.COMPL. DE IDIOMAS EXTRANJ.Nº 6 DE 06,Establecimiento Educativo,CENTRO EDUC.COMPL. DE IDIOMAS EXTRANJ.Nº 6 DE 06,200300.0,202159.0,00,Estatal,Servicios complementarios/alternativos,Centros Educativos Complementarios de Idiomas Extranjeros,Dirección de Educación Primaria,24 De Noviembre 1536,San Cristobal,3,Mapa Escolar - Ministerio de Educación,POINT (24905.59498443542 70017.3458882346)
428,Establecimiento educativo FRANCISCO DE GURRUCHAGA,Establecimiento Educativo,FRANCISCO DE GURRUCHAGA,200301.0,200056.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Jujuy Av. 1471,San Cristobal,3,Mapa Escolar - Ministerio de Educación,POINT (25655.55636003351 70251.30374621942)
429,Establecimiento educativo CONSERVATORIO SUP.DE MUSICA MANUEL DE FALLA,Establecimiento Educativo,CONSERVATORIO SUP.DE MUSICA MANUEL DE FALLA,200302.0,201173.0,03,Estatal,Ciclos de enseñanza artística | Nivel superior no universitario común | Trayecto Artístico Profesional,No corresponde - Otras dependencias,Ministerio de Cultura,Humberto 1° 3171,San Cristobal,3,Mapa Escolar - Ministerio de Educación,POINT (24880.622488652094 70632.31909011825)
430,Establecimiento educativo JIN B MAESTRO ESCULTOR FCO REYES (Nº11) DE 06,Establecimiento Educativo,JIN B MAESTRO ESCULTOR FCO REYES (Nº11) DE 06,200302.0,201545.0,00,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Humberto 1° 3171,San Cristobal,3,Mapa Escolar - Ministerio de Educación,POINT (24880.622488652094 70632.31909011825)
431,Establecimiento educativo JOSE FEDERICO MORENO,Establecimiento Educativo,JOSE FEDERICO MORENO,200302.0,201602.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Humberto 1° 3171,San Cristobal,3,Mapa Escolar - Ministerio de Educación,POINT (24880.622488652094 70632.31909011825)
432,Establecimiento educativo REPUBLICA DEL PARAGUAY,Establecimiento Educativo,REPUBLICA DEL PARAGUAY,200303.0,200864.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Agrelo 3231,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (24746.65806476975 71270.29578248374)
433,Establecimiento educativo CENTRO DEL TANGO,Establecimiento Educativo,CENTRO DEL TANGO,200303.0,203203.0,27,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros de Educación No Formal (CENOF),Gerencia Operativa de Educación para el Desarrollo y la Inclusión Labora,Agrelo 3231,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (24746.65806476975 71270.29578248374)
434,Establecimiento educativo BRIG. GRAL. JOSE M. ZAPIOLA,Establecimiento Educativo,BRIG. GRAL. JOSE M. ZAPIOLA,200304.0,200659.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,"Urquiza, Gral. 227",Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (24875.67180417686 71795.26661144973)
435,Establecimiento educativo JIN B MAESTRO ESCULTOR FCO REYES (Nº13)DE 06,Establecimiento Educativo,JIN B MAESTRO ESCULTOR FCO REYES (Nº13)DE 06,200304.0,201545.0,03,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,"Urquiza, Gral. 227",Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (24875.67180417686 71795.26661144973)
436,Establecimiento educativo BRIGADIER GRAL. JOSE MATIAS ZAPIOLA,Establecimiento Educativo,BRIGADIER GRAL. JOSE MATIAS ZAPIOLA,200304.0,201780.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos | Nivel primario de jóvenes y adultos,Escuelas Primarias para Adultos,Dirección de Educación del Adulto y del Adolescente,"Urquiza, Gral. 227",Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (24875.67180417686 71795.26661144973)
437,Establecimiento educativo INTENDENTE ALVEAR,Establecimiento Educativo,INTENDENTE ALVEAR,200305.0,200329.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,Castro 954 - Castro Barros 965,Boedo,5,Mapa Escolar - Ministerio de Educación,POINT (24035.209134044297 70605.73515292189)
438,Establecimiento educativo JIC Nº 04 MARIANO BOEDO DE 06,Establecimiento Educativo,JIC Nº 04 MARIANO BOEDO DE 06,200305.0,200889.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Jardines de Infantes Comunes (JIC),Dirección de Educación Inicial,Castro 954 - Castro Barros 965,Boedo,5,Mapa Escolar - Ministerio de Educación,POINT (24035.209134044297 70605.73515292189)
